Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value(not meaningful since it is tested vs 0),Signif(not meaningful since it is tested vs 0)
addi_1730,1.890251693299648,0.15450520373551213,1.5881055170298326,2.168706846023612,2.04038697596319e-34,***
addi_1740,1.9261038604587721,0.11689166957657529,1.6922172547942458,2.1454808828923673,5.308060018995103e-61,***
addi_1750,1.9619560276178962,0.08437110954906071,1.7921047920801818,2.1262987705990155,1.2994641591476805e-119,***
addi_1760,1.9978081947770194,0.06508704257971136,1.8735602650809295,2.1201179437110693,6.758926892982838e-207,***
addi_1770,2.0336603619361435,0.07083205045810781,1.8881135549119765,2.1646723653371525,2.779602033563531e-181,***
addi_1780,2.0695125290952676,0.09726794388450859,1.8784974132896266,2.2492837676541497,1.8778699986608217e-100,***
addi_1790,2.1053646962543917,0.13254411989233286,1.8451893285900798,2.3648923571721716,8.145906905414915e-57,***
addi_1800,2.141216863413515,0.17128295829894907,1.8143880617878863,2.469330278499758,7.36715341923664e-36,***
affett_1730,2.192344927811499,0.1136160124200893,1.9989185317335647,2.432937599758097,5.792909870811882e-83,***
affett_1740,2.1455432262268648,0.08693716971872237,1.994414075633082,2.331625258488866,1.7870823326838107e-134,***
affett_1750,2.0987415246422305,0.06525418581951291,1.9853667004666995,2.2359989963944322,5.89553047722437e-227,***
affett_1760,2.0519398230575963,0.05485171048416455,1.9526682661823855,2.162873935951993,2.804752350140047e-306,***
affett_1770,2.0051381214729602,0.06172418980363545,1.889757047751997,2.1292104232689617,1.7115093573308215e-231,***
affett_1780,1.958336419888326,0.08161865692718383,1.8077633165174773,2.1200717616468943,3.232756414951255e-127,***
affett_1790,1.9115347183036917,0.10753556992030579,1.70402612906938,2.1194740313566856,1.0876308711747772e-70,***
affett_1800,1.8647330167190574,0.13607628935776475,1.5961895356445552,2.118786942365347,9.663261959651253e-43,***
allor_1730,1.9312918258034053,0.10404436580318274,1.7559923680681007,2.150927978082437,6.49938308847479e-77,***
allor_1740,1.933871213774585,0.08213481829689644,1.8014086310967505,2.124793418380908,1.4097068940043702e-122,***
allor_1750,1.9364506017457648,0.06661684705271728,1.8389548243506222,2.0912917147729453,8.987963632069168e-186,***
allor_1760,1.9390299897169445,0.0624520444751756,1.849893229322257,2.087707352364072,1.202652928596276e-211,***
allor_1770,1.9416093776881242,0.07164837067454322,1.831152016111973,2.1159704712545526,1.0078288106561987e-161,***
allor_1780,1.944188765659304,0.09020808054053374,1.8020942926651058,2.1682795901780763,5.04155060814395e-103,***
allor_1790,1.946768153630484,0.11363223214652322,1.7650294574868455,2.219083132398718,8.539024541871414e-66,***
allor_1800,1.9493475416016635,0.13949139107378103,1.7226019798879342,2.27054628183024,2.2251172752131782e-44,***
almen_1730,2.3516624960646446,0.12892934224745364,2.0855606449063324,2.5846883351038503,2.487654964335565e-74,***
almen_1740,2.361500097299036,0.09596082304997568,2.1552317518478903,2.5264815312346562,1.011846309377377e-133,***
almen_1750,2.371337698533427,0.0707248352174835,2.2146933015078405,2.4916582565566716,1.8179205426462416e-246,***
almen_1760,2.3811752997678184,0.06327198085009964,2.2358971254559146,2.4800577513351376,0,***
almen_1770,2.3910129010022096,0.07881943474102239,2.2053920365246684,2.5231020310496715,3.9240830693963395e-202,***
almen_1780,2.400850502236601,0.10784007378121058,2.1627858301416367,2.5826826405024406,8.428469688197179e-110,***
almen_1790,2.4106881034709917,0.14231752605151382,2.103242863462984,2.6712213302058374,2.3282582261844962e-64,***
almen_1800,2.420525704705383,0.17912814803305885,2.0281992228457173,2.758318821461431,1.3139754541043978e-41,***
amor_1730,2.1946307439575916,0.04730148974324987,2.1015558012139,2.285493393768326,0,***
amor_1740,2.1683549916519267,0.03641797058677237,2.0998214091332015,2.2401516544943894,0,***
amor_1750,2.1420792393462618,0.028328207380003294,2.0908220154806814,2.196339951409249,0,***
amor_1760,2.115803487040597,0.02580866496057351,2.0675641721095275,2.16667281704568,0,***
amor_1770,2.089527734734932,0.03028313297376947,2.034732916185191,2.1520509106474277,0,***
amor_1780,2.063251982429266,0.039438942687958535,1.9919118097990363,2.148434405662844,0,***
amor_1790,2.036976230123601,0.050805249334673674,1.9406773475016477,2.148342971974817,0,***
amor_1800,2.0107004778179363,0.06320045586504776,1.8913040781514794,2.1532128838412783,4.0599143435176014e-222,***
ancor_1730,2.279071657589884,0.07295773670447492,2.1490129221395664,2.439078421893791,3.2244948044806213e-214,***
ancor_1740,2.241393192873268,0.0583356328701306,2.136134461543257,2.364754460760756,0,***
ancor_1750,2.203714728156653,0.04692313129544377,2.116290333540762,2.2996197263332667,0,***
ancor_1760,2.166036263440037,0.04146123381752973,2.086696654781883,2.246469790005404,0,***
ancor_1770,2.128357798723421,0.04421319983518394,2.0437643667923124,2.2161740675577004,0,***
ancor_1780,2.090679334006805,0.05393606993980532,1.9836428827177566,2.19461163774302,0,***
ancor_1790,2.05300086929019,0.06768981985741176,1.920250521048792,2.1857290139734804,4.6776499248657645e-202,***
ancor_1800,2.015322404573574,0.0835059474229097,1.8464607727617384,2.1757580816512845,1.102658583935545e-128,***
barbar_1730,2.2863967251815103,0.10314110028987306,2.0979984647790433,2.5090458423822635,7.048219793325875e-109,***
barbar_1740,2.272714528234839,0.07956057698984023,2.128702097350073,2.4423788504146002,1.7859772973261014e-179,***
barbar_1750,2.259032331288168,0.06032805035559972,2.1459424829923117,2.379781242334507,7.0295186140098955e-307,***
barbar_1760,2.245350134341497,0.050664102826953314,2.150411563968557,2.3455643509231883,0,***
barbar_1770,2.231667937394826,0.05578546744102141,2.1210651539017076,2.3349592344496646,0,***
barbar_1780,2.217985740448155,0.07262902206946793,2.0717709515624922,2.3550711985521526,8.022683656369134e-205,***
barbar_1790,2.2043035435014837,0.0951615506532029,2.0068725803948806,2.386842486682657,1.0553653447071131e-118,***
barbar_1800,2.190621346554813,0.12022585414742448,1.9370722009071835,2.42080693282959,3.5241522083943013e-74,***
bel_1730,2.3519911190750893,0.09388207835547091,2.1716903600696065,2.5365571611104856,1.635168968750049e-138,***
bel_1740,2.297400370003219,0.07347147784726961,2.158877868887957,2.43828417171837,1.2211089754720244e-214,***
bel_1750,2.2428096209313484,0.06087996684689852,2.1282009399549664,2.3649173292081875,4.250016051975917e-297,***
bel_1760,2.188218871859478,0.061145576741050395,2.0759045449894575,2.314197226262708,1.7572431293494324e-280,***
bel_1770,2.1336281227876075,0.07413023426518017,1.991414821625017,2.2858441006754466,3.587386221907811e-182,***
bel_1780,2.079037373715737,0.09474122964646325,1.902524686771175,2.2763103191872394,9.79987437827603e-107,***
bel_1790,2.0244466246438666,0.11908235991588291,1.801624480641661,2.2682022178392613,8.15746575768504e-65,***
bel_1800,1.9698558755719962,0.14529079522408309,1.7039755281530937,2.270281692288789,7.102512331785614e-42,***
bell_1730,2.5488471124679233,0.09154312307191705,2.3670926858420276,2.7201441458480415,1.3045358346793251e-170,***
bell_1740,2.4809626568704815,0.06769485181185063,2.3436110224600193,2.6123513835598566,4.710967850728758e-294,***
bell_1750,2.4130782012730414,0.052067046321489674,2.3100398839659566,2.5129305417940646,0,***
bell_1760,2.3451937456756013,0.05258608593732158,2.2390682353817706,2.4439448745723746,0,***
bell_1770,2.2773092900781595,0.06888795487251785,2.131072332944847,2.4111160621922108,1.1874050593180302e-239,***
bell_1780,2.2094248344807195,0.09301472458474638,2.0271463273145374,2.3912822120021073,1.0110542380957713e-124,***
bell_1790,2.1415403788832776,0.12034891949403557,1.909584998599559,2.385373065755528,7.805809633780723e-71,***
bell_1800,2.0736559232858376,0.1491372543261239,1.7810313950568275,2.3720277947614328,5.960957035776093e-44,***
car_1730,2.4828680739865328,0.1486717933833766,2.179936604140542,2.757780387503552,1.3034099698978464e-62,***
car_1740,2.46656595564946,0.11274319771348772,2.237332570191559,2.6750211493996665,4.2334042624536594e-106,***
car_1750,2.450263837312387,0.08354747790251726,2.274306671930685,2.596616355731857,4.586555417486858e-189,***
car_1760,2.4339617189753144,0.07007681105370385,2.283835794582103,2.562926450282886,2.5231978690468057e-264,***
car_1770,2.417659600638242,0.08063971590610468,2.250172172638585,2.5599024544827675,1.735880336864473e-197,***
car_1780,2.401357482301169,0.10842598427385333,2.16365540126493,2.591076716169061,1.1042884510217386e-108,***
car_1790,2.385055363964096,0.14377430333848396,2.072753006041797,2.6385044098783648,8.386302076971093e-62,***
car_1800,2.3687532456270235,0.18233851070345714,1.9897898127077114,2.694152838514408,1.3767968342892564e-38,***
chiam_1730,2.6225061480719027,0.12191086041152321,2.428489679462831,2.8970309690734326,1.21067609517537e-102,***
chiam_1740,2.4827622502593236,0.09380127167115888,2.3415641883224114,2.6953700682420476,2.2454607631842584e-154,***
