Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value(not meaningful since it is tested vs 0),Signif(not meaningful since it is tested vs 0)
fug_1730,2.6022090171268584,0.10996877531287166,2.4186364356938928,2.8486441012180537,8.640230584894724e-124,***
fug_1740,2.5524462789849736,0.08095558021329831,2.4283654175674916,2.734952772241899,3.4826330202856415e-218,***
fug_1750,2.502683540843087,0.060708091420198,2.4227064371831255,2.659706072666525,0,***
fug_1760,2.452920802701202,0.05906039902038314,2.381445654133691,2.613305187949926,0,***
fug_1770,2.4031580645593174,0.07721257069521158,2.30263984617987,2.610305581523358,1.1433548495082615e-212,***
fug_1780,2.3533953264174308,0.10538701716355589,2.204443741169479,2.6186009193198685,1.8483151025218082e-110,***
fug_1790,2.303632588275546,0.13755747043418848,2.100135539574209,2.624033066005171,5.986386776580474e-63,***
fug_1800,2.253869850133661,0.17148960297996504,1.9946900577353874,2.6459607083264918,1.8693549388810857e-39,***
guerr_1730,2.5957020521964504,0.14650160337110696,2.2957838491096134,2.863210319614181,3.050428421972991e-70,***
guerr_1740,2.595030889072195,0.1156986463543138,2.3526390474948324,2.812663005374815,2.0416536236802168e-111,***
guerr_1750,2.5943597259479394,0.08985909098636966,2.4163093318779922,2.7677660864331015,2.72844413217056e-183,***
guerr_1760,2.593688562823684,0.07435158494836129,2.4572389969084534,2.7499489497393705,1.2950767250235955e-266,***
guerr_1770,2.593017399699429,0.07580687714535374,2.4662034229028658,2.7594873574784,1.998228397847451e-256,***
guerr_1780,2.5923462365751733,0.0934356973939231,2.439026541109612,2.808790677293212,2.0184096854703888e-169,***
guerr_1790,2.5916750734509177,0.12032788105508806,2.3889858508427566,2.869403774597418,6.795429940076909e-103,***
guerr_1800,2.591003910326662,0.1516324202065202,2.3226361341164248,2.935426570474997,1.842037606468507e-65,***
imper_1730,2.7018828333596048,0.13095001827338035,2.4657753570188006,2.9684380262850825,1.389634035012557e-94,***
imper_1740,2.572615560190332,0.10276959675391709,2.398617958051949,2.7942314129015506,2.684424586742766e-138,***
imper_1750,2.443348287021063,0.08012248325197188,2.3216800895186482,2.624128809609163,3.0204495642276127e-204,***
imper_1760,2.314081013851794,0.0687166224599116,2.215061463189559,2.4767460305950153,1.3112106145703366e-248,***
imper_1770,2.184813740682525,0.07395049463302646,2.0746780339458204,2.3658979298454295,7.77897937953344e-192,***
