Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value(not meaningful since it is tested vs 0),Signif(not meaningful since it is tested vs 0)
amor_1780,2.035945823538106,0.04824759136570811,1.9507572119530954,2.138438883607506,0,***
amor_1790,2.026361388517802,0.0627151422029052,1.9133385174686526,2.156573514268828,4.971339785946928e-229,***
amor_1800,2.016776953497498,0.07844489553278164,1.8661265099541322,2.1758430655781016,9.159162239675962e-146,***
ancor_1730,2.1524779395462437,0.08784246224205614,1.9793710720750537,2.3229010202666487,1.3441763355779405e-132,***
ancor_1740,2.1147591330776168,0.06846749370522832,1.982605811657312,2.2458801249166767,1.782607452137555e-209,***
ancor_1750,2.0770403266089907,0.05339308901969422,1.981363860757458,2.1850186973969463,0,***
ancor_1760,2.0393215201403647,0.04696137727021643,1.9547341598605639,2.132694210167767,0,***
ancor_1770,2.0016027136717387,0.05245421522077421,1.9074080890490315,2.1004009736366203,0,***
ancor_1780,1.9638839072031127,0.06700032218579324,1.8377243034485045,2.0923966252668125,7.388307286806603e-189,***
ancor_1790,1.9261651007344867,0.08612877794810506,1.760022315795804,2.0845703611301194,8.867371640432094e-111,***
ancor_1800,1.8884462942658606,0.10741887333205918,1.676352572307466,2.0835539407244807,3.4928357021960207e-69,***
barbar_1730,2.2477431840500723,0.12829880033096971,2.0138439490200373,2.501202847744411,1.0154341623784328e-68,***
barbar_1740,2.238912859365781,0.09841890507329551,2.049237177355267,2.435797254771171,1.474503291619478e-114,***
barbar_1750,2.2300825346814896,0.07412902327135193,2.0865483198099,2.3808440784436278,7.894083575706455e-199,***
barbar_1760,2.2212522099971985,0.06234641779910767,2.1020096946617626,2.3438774399953823,5.2414742033001956e-278,***
barbar_1770,2.2124218853129074,0.06972927677435864,2.0835240082913407,2.3473860457166738,6.239650081292057e-221,***
barbar_1780,2.203591560628616,0.09176274174438825,2.027126112755309,2.3834931286690924,1.9853011401569466e-127,***
barbar_1790,2.194761235944325,0.12067212607432362,1.9603419196447762,2.4283143028799237,6.446952264973338e-74,***
barbar_1800,2.1859309112600336,0.1525983478155172,1.881322441538158,2.477026682385857,1.533115234715745e-46,***
bel_1730,2.4160060852297462,0.1114012753839824,2.2112597408741994,2.6328633070514926,2.69702581700971e-104,***
bel_1740,2.3400538348944586,0.08661439908501789,2.1741136961083365,2.5248797807084764,9.353393489212637e-161,***
bel_1750,2.264101584559171,0.07170941026149927,2.134845955960506,2.4204839055319236,8.592561300128489e-219,***
bel_1760,2.1881493342238834,0.07301232999129428,2.0465770084152983,2.3467940670856584,2.4451908296181827e-197,***
bel_1770,2.1121970838885975,0.08982057982987911,1.9351011472144297,2.2940522818299094,2.8156391928495743e-122,***
bel_1780,2.03624483355331,0.1155553902278301,1.8146230288567504,2.269305326616559,1.6885138153371408e-69,***
bel_1790,1.9602925832180222,0.1455566394224217,1.6850576293895405,2.253482660757543,2.427606636745932e-41,***
bel_1800,1.8843403328827346,0.17767610353872595,1.5389671649202012,2.234994842111225,2.8101775764501964e-26,***
bell_1730,2.5430144455581605,0.10777687722865004,2.331945700628462,2.753599010105364,4.319616001494545e-123,***
bell_1740,2.4470454968984434,0.07905640849441915,2.2935281063447763,2.601666761994002,2.3038219065824777e-210,***
bell_1750,2.3510765482387264,0.06018027740829191,2.2395179986523273,2.4709903193398355,0,***
bell_1760,2.2551075995790093,0.06108277547612775,2.147228417097998,2.381020130869737,2.3008899515904107e-298,***
bell_1770,2.159138650919296,0.08110631749019707,2.015180729482735,2.3267899729464405,3.869528773599436e-156,***
bell_1780,2.0631697022595787,0.11028623495160139,1.8636353423304541,2.2852778653661696,4.308171522349751e-78,***
bell_1790,1.9672007535998617,0.14312778244912677,1.7046165063856134,2.2543739968513075,5.505253035988467e-43,***
bell_1800,1.8712318049401446,0.17761126147807985,1.5443992187324127,2.231822332934205,5.923783389857216e-26,***
car_1730,2.3365491354008316,0.1901057867571255,1.935621334920421,2.6704458100543604,1.0151684582125082e-34,***
car_1740,2.3482883885526125,0.14566445177663678,2.034012739297423,2.605588377617465,1.810061302446534e-58,***
car_1750,2.3600276417043933,0.10934502654525119,2.1122482551202406,2.5533209837877555,2.577384359709537e-103,***
car_1760,2.371766894856174,0.09140468869224534,2.1692096771713016,2.5281331257328747,1.916375110422475e-148,***
car_1770,2.3835061480079553,0.1020469468706533,2.172487393300008,2.5650439570936268,1.1711434065959862e-120,***
car_1780,2.395245401159736,0.13465742304926476,2.1245532991504206,2.6408451069848207,8.802450365820418e-71,***
car_1790,2.406984654311517,0.17751603804971092,2.0299074608047536,2.7362760568829185,6.984490231234354e-42,***
car_1800,2.418723907463298,0.2248367094435765,1.9595825369102884,2.825570248773389,5.451891517295258e-27,***
chiam_1730,2.711370025488044,0.14882939919600308,2.4404951044440737,3.034777613903078,3.716677350691826e-74,***
chiam_1740,2.549780063119872,0.11170213245269892,2.3561720318105563,2.8047716682756887,2.4962507059140294e-115,***
chiam_1750,2.3881901007517,0.08412396522763602,2.2550788690813777,2.5864191740830424,2.769343668572352e-177,***
chiam_1760,2.226600138383528,0.07712726793076413,2.120186906954555,2.4159647979084964,2.912024532217464e-183,***
chiam_1770,2.065010176015356,0.0953555881582745,1.9223059215278018,2.2894413373764206,5.348750767185268e-104,***
chiam_1780,1.903420213647184,0.12848758589552614,1.6967316023769576,2.1894020701405696,1.1887579420683794e-49,***
chiam_1790,1.741830251279012,0.1679217974749353,1.4586561994597051,2.0959386777217843,3.294926990585566e-25,***
