Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value(not meaningful since it is tested vs 0),Signif(not meaningful since it is tested vs 0)
addi_1730,-0.0891827756589767,0.0568511695200966,-0.1934643801194164,0.025096351606833024,0.11671643970035148,
addi_1740,-0.07077971159331486,0.042749050851468934,-0.14981558871301817,0.013471799063836972,0.0977820749792769,.
addi_1750,-0.05237664752765259,0.030638508766841297,-0.10892146160638227,0.007842029345709364,0.08735766622583237,.
addi_1760,-0.03397358346199075,0.02378583797274686,-0.0783158257749352,0.01074231165502317,0.15320224889942963,
addi_1770,-0.015570519396328919,0.026620010415688095,-0.0652306983370669,0.03703249286121717,0.5586029521812698,
addi_1780,0.002832544669332915,0.03697694983165241,-0.07298374089527729,0.0749020572332366,0.9389393856230993,
addi_1790,0.021235608734995193,0.05041602603368651,-0.07794350929817666,0.11841351689700196,0.6736035616908309,
addi_1800,0.03963867280065703,0.06505434298386077,-0.0869198183950131,0.16160819660355158,0.5423147923618639,
affett_1730,-0.0784895388657878,0.043928953995622015,-0.15606570654665342,0.012787990455173322,0.073979816793366,.
affett_1740,-0.07083086420165352,0.03353227241367925,-0.13198691503845567,2.1714441692826533e-4,0.03465907663679145,*
affett_1750,-0.06317218953751924,0.02507259400092177,-0.10980721495823553,-0.009528415787650703,0.011749782399055102,*
affett_1760,-0.05551351487338496,0.021033735504637937,-0.09236090924633018,-0.012209269435330855,0.008308701975166121,**
affett_1770,-0.047854840209250904,0.02378576194401217,-0.0893696265455305,0.0030478584618329747,0.04422930142154826,*
affett_1780,-0.040196165545116624,0.03160171349578236,-0.09626455548491714,0.024083099263044066,0.2033867690497325,
affett_1790,-0.032537490880982345,0.04172691581121173,-0.10745438681369383,0.04854455842325541,0.43552494508883205,
affett_1800,-0.024878816216848065,0.05285039349897534,-0.12195293636322042,0.08294734674363033,0.6378261190156249,
allor_1730,-0.07766890179825525,0.03963518391352022,-0.15887908659516325,-0.007766675732392604,0.05004316520854134,.
allor_1740,-0.08185432519748592,0.030767974277417464,-0.14825549551107772,-0.03001506305637791,0.007805387744550322,**
allor_1750,-0.08603974859671659,0.024377881617902726,-0.14264347816307685,-0.04743028554130849,4.164738166455001e-4,***
allor_1760,-0.09022517199594726,0.02266685723651479,-0.14662002222032755,-0.05816927786754721,6.8773697142402e-5,***
allor_1770,-0.09441059539517782,0.026555303717864208,-0.16131972878992162,-0.05696099149344004,3.776278705031833e-4,***
allor_1780,-0.09859601879440849,0.03418295376176392,-0.18348288747652236,-0.04896397744536783,0.003922073998373636,**
allor_1790,-0.10278144219363916,0.04363091718005905,-0.20948836824925024,-0.0376485576000507,0.018487738456526102,*
allor_1800,-0.10696686559286983,0.053951199929481296,-0.2347978989133758,-0.023309496180814536,0.047405462834884435,*
almen_1730,-0.03700385282298235,0.048504058058267956,-0.11690651009415146,0.06324338255988622,0.44552172135838247,
almen_1740,-0.04126335027051009,0.035893767903592076,-0.10231047091693783,0.03138070757044,0.25031009676683114,
almen_1750,-0.04552284771803783,0.026365213581674492,-0.09193353077356317,0.008106605748109223,0.08423495935151191,.
almen_1760,-0.049782345165565456,0.02393594340716403,-0.0938545927958603,6.761320850066173e-4,0.03754246245706688,*
almen_1770,-0.054041842613093194,0.0303607851194246,-0.11390785832197756,0.004169452969811099,0.07507787375279781,.
almen_1780,-0.05830134006062093,0.04173329780928004,-0.13885864038707033,0.02126191038890118,0.16241412580067363,
almen_1790,-0.06256083750814867,0.05506906577836155,-0.17592632252350981,0.03714275684533363,0.25593848635840905,
almen_1800,-0.06682033495567641,0.06924289748456686,-0.2085330681951546,0.05979275466808984,0.3345380203633165,
amor_1730,-0.054397316770186166,0.017588823978633015,-0.08716426290716286,-0.019428049707137806,0.001983308219319386,**
amor_1740,-0.05235493615206788,0.013247705096423416,-0.07663198995996191,-0.02646519069298248,7.750060346103382e-5,***
amor_1750,-0.05031255553394959,0.009940818606422723,-0.06821866959359592,-0.031124039034342268,4.1660733779707097e-7,***
amor_1760,-0.0482701749158313,0.008906249585730653,-0.0641661925176996,-0.02965279434133576,5.966262146915674e-8,***
amor_1770,-0.046227794297712954,0.010816927090185294,-0.06608903584525062,-0.023664563924502433,1.9229611349903303e-5,***
amor_1780,-0.044185413679594665,0.014555884189528705,-0.07175421053060813,-0.014777623254789445,0.002400810322986121,**
amor_1790,-0.042143033061476376,0.01907681420670361,-0.07948302621208848,-0.0052248882580801575,0.027166072061576806,*
amor_1800,-0.04010065244335809,0.023940742237631974,-0.08676904231160226,0.005824768518407479,0.09393497584203808,.
ancor_1730,-0.10759727136056774,0.026073781060736403,-0.1512597213639512,-0.05086216515600609,3.680919152887697e-5,***
ancor_1740,-0.09807727344203432,0.020507635715977603,-0.1323320962601301,-0.05067653266284662,1.7314915768358729e-6,***
ancor_1750,-0.0885572755235009,0.01613222605535183,-0.11183732395639136,-0.049452240510371975,4.0315508196046785e-8,***
ancor_1760,-0.0790372776049677,0.014103150120750078,-0.09852361987913535,-0.04236630796129578,2.091844480667319e-8,***
ancor_1770,-0.06951727968643429,0.015378995420428558,-0.08903441523024376,-0.030769708263339128,6.175952078392124e-6,***
ancor_1780,-0.05999728176790087,0.019315607366593993,-0.0863091372695925,-0.011111355152446309,0.0018953695898320736,**
ancor_1790,-0.05047728384936745,0.024670557487113793,-0.08777351560111223,0.010371076850038323,0.04075109389039845,*
ancor_1800,-0.04095728593083403,0.030710660307053987,-0.09029964157755238,0.03150439952685956,0.18231844086484686,
barbar_1730,0.02449594742045791,0.039884404731452855,-0.04521975901135999,0.1101752541771544,0.5391006336057341,
barbar_1740,0.019180377560232498,0.03058515674000367,-0.032756869354135465,0.08631485420762618,0.5305845626842555,
barbar_1750,0.013864807700006976,0.02291805198609513,-0.024484213318885346,0.06498651101398016,0.545196790846169,
barbar_1760,0.008549237839781565,0.018976870734202695,-0.024296644791336648,0.052598033336436846,0.652343968288367,
