Effect,Coefficient,Effect,Coefficient
(Intercept),5.7153,addi:year,-0.0033
affett,-1.7071,affett:year,-0.0024
allor,-8.232,allor:year,0.0015
almen,-10.375,almen:year,0.0025
amor,-4.2256,amor:year,-0.0009
ancor,-6.6356,ancor:year,0.0005
barbar,-9.3373,barbar:year,0.002
bel,2.0606,bel:year,-0.0046
bell,-11.7376,bell:year,0.0034
car,-10.1198,car:year,0.0025
chiam,-3.4655,chiam:year,-0.0014
cigl,-16.1199,cigl:year,0.0058
cor,-19.9723,cor:year,0.0083
crudel,-2.1492,crudel:year,-0.0022
debell,-14.2045,debell:year,0.0047
degn,-12.8976,degn:year,0.0041
dì,612.6925,dì:year,-0.3511
digl,-17.8899,digl:year,0.007
disper,-13.9384,disper:year,0.0044
ditel,-22.5117,ditel:year,0.0097
donar,-6.2569,donar:year,0.0001
fat,-15.5454,fat:year,0.0054
fedel,-1.9383,fedel:year,-0.0023
fid,-6.4267,fid:year,0.0004
fug,-4.8183,fug:year,-0.0005
guerr,9.4117,guerr:year,-0.0087
imper,-6.7362,imper:year,0.0007
infedel,-17.2573,infedel:year,0.0064
infel,-6.4422,infel:year,0.0005
ingann,-1.7515,ingann:year,-0.0024
ingrat,-3.2129,ingrat:year,-0.0015
lagn,3.4917,lagn:year,-0.0053
lasc,-3.9169,lasc:year,-0.001
lid,-16.1469,lid:year,0.0058
mor,-1.1758,mor:year,-0.0027
nè,-10.5935,nè:year,0.0029
ond,-10.3759,ond:year,0.0026
pac,-20.6894,pac:year,0.0086
parl,-3.4358,parl:year,-0.0014
perd,-6.7358,perd:year,0.0005
perfid,-11.1838,perfid:year,0.0031
piet,-5.8633,piet:year,0.0001
pover,-7.4103,pover:year,0.0009
prov,-12.1447,prov:year,0.0037
pur,-2.1876,pur:year,-0.0021
qual,-17.7095,qual:year,0.0069
sai,-9.3982,sai:year,0.0021
scompagn,-6.3371,scompagn:year,0.0001
sent,-4.3849,sent:year,-0.0009
sì,4.6603,sì:year,-0.0057
sol,-0.351,sol:year,-0.0031
sospir,2.9253,sospir:year,-0.0051
spos,-17.4394,spos:year,0.0066
terror,-29.1077,terror:year,0.0132
tradit,1.755,tradit:year,-0.0044
trem,-0.3768,trem:year,-0.0031
trov,6.895,trov:year,-0.0072
ved,-19.4021,ved:year,0.0079
virtù,-1.5879,virtù:year,-0.0024
