Effect,Coefficient,Effect,Coefficient
(Intercept),10.2289,addi:year,-0.0058
affett,-9.2946,affett:year,-0.0007
allor,-14.4618,allor:year,0.0023
almen,-13.8558,almen:year,0.0019
amor,-6.7978,amor:year,-0.0021
ancor,-14.0093,ancor:year,0.0021
barbar,-11.714,barbar:year,0.001
bel,-15.6196,bel:year,0.0029
bell,-9.8072,bell:year,-0.0002
car,-12.2715,car:year,0.0012
chiam,-5.8147,chiam:year,-0.0027
cigl,-7.8921,cigl:year,-0.0014
cor,-8.9126,cor:year,-0.0009
crudel,-11.2528,crudel:year,0.0004
debell,-12.8604,debell:year,0.0012
degn,-17.2425,degn:year,0.0041
dì,-237.5616,dì:year,0.13
digl,-29.7556,digl:year,0.0112
disper,-17.6175,disper:year,0.0041
ditel,-31.6086,ditel:year,0.0123
donar,-9.6219,donar:year,-0.0007
fat,-7.1465,fat:year,-0.0018
fedel,-5.8252,fedel:year,-0.0027
fid,-6.7341,fid:year,-0.002
fug,-13.2931,fug:year,0.0019
guerr,-3.7293,guerr:year,-0.0039
imper,-6.5419,imper:year,-0.002
infedel,-24.0575,infedel:year,0.0078
infel,-13.2341,infel:year,0.0018
ingann,-8.3897,ingann:year,-0.0011
ingrat,-16.559,ingrat:year,0.0036
lagn,-5.3667,lagn:year,-0.003
lasc,-8.3667,lasc:year,-0.001
lid,-1.4949,lid:year,-0.0052
mor,-2.8326,mor:year,-0.0044
nè,-12.957,nè:year,0.0017
ond,-13.4942,ond:year,0.0017
pac,-21.3797,pac:year,0.0066
parl,-12.4858,parl:year,0.0011
perd,-4.1298,perd:year,-0.0035
perfid,-21.9554,perfid:year,0.0067
piet,-8.7899,piet:year,-0.0009
pover,-10.3868,pover:year,0.0001
prov,-21.6464,prov:year,0.0064
pur,-2.9587,pur:year,-0.004
qual,1.3579,qual:year,-0.0062
sai,-5.7829,sai:year,-0.0025
scompagn,-9.0466,scompagn:year,-0.0009
sent,-12.6456,sent:year,0.0013
sì,-10.8044,sì:year,0.0005
sol,-2.8593,sol:year,-0.004
sospir,0.1604,sospir:year,-0.006
spos,-6.0479,spos:year,-0.0023
terror,-29.5472,terror:year,0.0109
tradit,-8.0298,tradit:year,-0.0013
trem,-3.4648,trem:year,-0.004
trov,-2.7573,trov:year,-0.0042
ved,-18.3149,ved:year,0.0048
virtù,-10.3458,virtù:year,-0.0003
