Effect,Coefficient,Effect,Coefficient
(Intercept),-0.8983,addi:year,0.0004
affett,0.9538,affett:year,-0.0001
allor,0.6562,allor:year,0.0002
almen,-1.0319,almen:year,0.0011
amor,0.4762,amor:year,0.0002
ancor,0.7922,ancor:year,0.0001
barbar,-3.0344,barbar:year,0.0021
bel,9.1342,bel:year,-0.0047
bell,2.4022,bell:year,-0.0009
car,-1.5251,car:year,0.0013
chiam,2.3993,chiam:year,-0.0009
cigl,-2.0866,cigl:year,0.0016
cor,-3.9992,cor:year,0.0028
crudel,-0.7431,crudel:year,0.0009
debell,0.3309,debell:year,0.0004
degn,-1.6116,degn:year,0.0014
dì,1400.6724,dì:year,-0.7957
digl,-0.0756,digl:year,0.0006
disper,0.0871,disper:year,0.0004
ditel,0.3958,ditel:year,0.0003
donar,8.338,donar:year,-0.0042
fat,-0.8371,fat:year,0.0009
fedel,0.6838,fedel:year,0.0001
fid,-0.1126,fid:year,0.0005
fug,1.099,fug:year,-0.0001
guerr,5.774,guerr:year,-0.0028
imper,-2.489,imper:year,0.0019
infedel,2.1539,infedel:year,-0.0008
infel,1.2346,infel:year,-0.0002
ingann,-0.0466,ingann:year,0.0005
ingrat,4.2506,ingrat:year,-0.0019
lagn,-1.9127,lagn:year,0.0016
lasc,0.0285,lasc:year,0.0004
lid,-7.0987,lid:year,0.0044
mor,2.2647,mor:year,-0.0008
nè,-1.2432,nè:year,0.0013
ond,-3.7541,ond:year,0.0025
pac,4.5814,pac:year,-0.0021
parl,-0.4282,parl:year,0.0007
perd,-3.13,perd:year,0.0023
perfid,3.1388,perfid:year,-0.0013
piet,2.2897,piet:year,-0.0008
pover,0.8047,pover:year,0
prov,2.4595,prov:year,-0.0008
pur,0.8071,pur:year,-0.0001
qual,-15.0741,qual:year,0.0092
sai,-13.6217,sai:year,0.0082
scompagn,-1.4133,scompagn:year,0.0013
sent,5.2262,sent:year,-0.0025
sì,4.1956,sì:year,-0.0017
sol,2.6181,sol:year,-0.001
sospir,-0.8844,sospir:year,0.001
spos,-6.1679,spos:year,0.004
terror,-11.9454,terror:year,0.0073
tradit,2.6204,tradit:year,-0.001
trem,-10.4247,trem:year,0.0064
trov,7.9119,trov:year,-0.004
ved,-0.0445,ved:year,0.0005
virtù,4.2729,virtù:year,-0.0019
