Effect,Coefficient,Effect,Coefficient
(Intercept),3.4019,addi:year,-0.002
affett,-7.043,affett:year,0.002
allor,-7.1894,allor:year,0.002
almen,-3.6682,almen:year,0.0001
amor,-2.768,amor:year,-0.0004
ancor,-5.9666,ancor:year,0.0014
barbar,-3.9171,barbar:year,0.0003
bel,-2.9865,bel:year,-0.0004
bell,-8.6525,bell:year,0.0029
car,-0.54,car:year,-0.0016
chiam,-1.1103,chiam:year,-0.0014
cigl,-0.3608,cigl:year,-0.0017
cor,-2.0869,cor:year,-0.0009
crudel,-7.5058,crudel:year,0.0022
debell,-6.3839,debell:year,0.0017
degn,-8.8813,degn:year,0.0031
dì,108.4845,dì:year,-0.063
digl,-12.9877,digl:year,0.0054
disper,-5.7437,disper:year,0.0012
ditel,-15.0496,ditel:year,0.0067
donar,-5.8923,donar:year,0.0012
fat,-4.9765,fat:year,0.0009
fedel,-3.7827,fedel:year,0.0001
fid,-4.8155,fid:year,0.0008
fug,-0.8598,fug:year,-0.0014
guerr,-7.026,guerr:year,0.0019
imper,-0.4843,imper:year,-0.0017
infedel,-7.8725,infedel:year,0.0025
infel,-8.5742,infel:year,0.003
ingann,-0.5843,ingann:year,-0.0017
ingrat,-9.5428,ingrat:year,0.0035
lagn,-0.6608,lagn:year,-0.0016
lasc,-2.7813,lasc:year,-0.0004
lid,6.4031,lid:year,-0.0057
mor,-2.3307,mor:year,-0.0007
nè,-3.7871,nè:year,0.0002
ond,-3.0526,ond:year,-0.0003
pac,-6.4009,pac:year,0.0017
parl,-5.2158,parl:year,0.0009
perd,-3.113,perd:year,-0.0002
perfid,-6.8596,perfid:year,0.0019
piet,-1.2117,piet:year,-0.0013
pover,0.2784,pover:year,-0.0022
prov,-9.3533,prov:year,0.0033
pur,-3.6451,pur:year,0.0002
qual,3.2745,qual:year,-0.0037
sai,-1.4648,sai:year,-0.0012
scompagn,2.9126,scompagn:year,-0.0038
sent,-3.9147,sent:year,0.0003
sì,-6.043,sì:year,0.0015
sol,-0.0027,sol:year,-0.0019
sospir,2.1169,sospir:year,-0.0032
spos,-0.8091,spos:year,-0.0015
terror,-7.7721,terror:year,0.0025
tradit,-3.2821,tradit:year,-0.0001
trem,-3.723,trem:year,0.0001
trov,-1.7322,trov:year,-0.0009
ved,-5.6299,ved:year,0.0013
virtù,-3.1095,virtù:year,-0.0004
