Effect,Coefficient,Effect,Coefficient
(Intercept),-1.3664,addi:year,0.0008
affett,1.7593,affett:year,-0.0002
allor,1.9827,allor:year,-0.0003
almen,0.94,almen:year,0.0003
amor,1.0136,amor:year,0.0002
ancor,2.7081,ancor:year,-0.0007
barbar,0.651,barbar:year,0.0004
bel,3.2061,bel:year,-0.001
bell,0.6287,bell:year,0.0004
car,0.4552,car:year,0.0005
chiam,0.9378,chiam:year,0.0003
cigl,-0.4312,cigl:year,0.001
cor,0.8455,cor:year,0.0003
crudel,1.3727,crudel:year,0
debell,1.1027,debell:year,0.0002
degn,2.1624,degn:year,-0.0005
dì,68.7631,dì:year,-0.0385
digl,5.3079,digl:year,-0.0022
disper,1.4114,disper:year,0
ditel,3.277,ditel:year,-0.0011
donar,1.8958,donar:year,-0.0002
fat,-2.6409,fat:year,0.0022
fedel,0.5427,fedel:year,0.0005
fid,0.058,fid:year,0.0007
fug,2.1025,fug:year,-0.0005
guerr,1.8469,guerr:year,-0.0002
imper,-0.6821,imper:year,0.0012
infedel,4.7846,infedel:year,-0.002
infel,1.5768,infel:year,-0.0001
ingann,1.0513,ingann:year,0.0002
ingrat,3.5238,ingrat:year,-0.0013
lagn,2.6657,lagn:year,-0.0007
lasc,0.6826,lasc:year,0.0004
lid,-3.224,lid:year,0.0026
mor,-0.1192,mor:year,0.0009
nè,1.2429,nè:year,0.0001
ond,2.7798,ond:year,-0.0008
pac,1.0081,pac:year,0.0002
parl,2.3985,parl:year,-0.0006
perd,-0.216,perd:year,0.0009
perfid,4.6118,perfid:year,-0.0018
piet,0.8009,piet:year,0.0003
pover,1.0577,pover:year,0.0001
prov,2.9071,prov:year,-0.0008
pur,0.7347,pur:year,0.0003
qual,-0.9287,qual:year,0.0012
sai,-2.1324,sai:year,0.002
scompagn,0.4328,scompagn:year,0.0005
sent,1.2757,sent:year,0
sì,1.8273,sì:year,-0.0003
sol,1.372,sol:year,0
sospir,0.0707,sospir:year,0.0007
spos,-1.7054,spos:year,0.0017
terror,2.7077,terror:year,-0.0008
tradit,2.0318,tradit:year,-0.0004
trem,0.2552,trem:year,0.0007
trov,3.4794,trov:year,-0.0012
ved,3.3807,ved:year,-0.0012
virtù,3.4782,virtù:year,-0.0011
