Effect,Coefficient,Effect,Coefficient
(Intercept),0.976,addi:year,0.0007
affett,14.5943,affett:year,-0.0077
allor,-2.5553,allor:year,0.0022
almen,-2.4915,almen:year,0.0022
amor,3.1229,amor:year,-0.0011
ancor,12.3868,ancor:year,-0.0063
barbar,2.6883,barbar:year,-0.0009
bel,25.4434,bel:year,-0.0137
bell,9.7697,bell:year,-0.0048
car,3.7606,car:year,-0.0013
chiam,18.2242,chiam:year,-0.0096
cigl,-0.1734,cigl:year,0.0007
cor,1.371,cor:year,0.0002
crudel,2.156,crudel:year,-0.0003
debell,12.879,debell:year,-0.0063
degn,12.0823,degn:year,-0.006
dì,-9.7724,dì:year,0.006
digl,25.0647,digl:year,-0.0133
disper,-0.7163,disper:year,0.0011
ditel,6.8998,ditel:year,-0.003
donar,-0.0576,donar:year,0.001
fat,-5.8598,fat:year,0.0041
fedel,0.7786,fedel:year,0.0003
fid,10.8932,fid:year,-0.0055
fug,10.2352,fug:year,-0.005
guerr,1.7358,guerr:year,-0.0001
imper,24.0891,imper:year,-0.0129
infedel,22.347,infedel:year,-0.0117
infel,17.6388,infel:year,-0.0094
ingann,19.9142,ingann:year,-0.0106
ingrat,25.7,ingrat:year,-0.0139
lagn,13.0909,lagn:year,-0.0068
lasc,13.44,lasc:year,-0.0069
lid,22.6039,lid:year,-0.012
mor,11.2537,mor:year,-0.0056
nè,5.9485,nè:year,-0.0026
ond,27.3258,ond:year,-0.0146
pac,7.4832,pac:year,-0.0034
parl,11.8122,parl:year,-0.0059
perd,18.1456,perd:year,-0.0095
perfid,35.7886,perfid:year,-0.0191
piet,9.7663,piet:year,-0.0047
pover,14.1437,pover:year,-0.0073
prov,-8.3926,prov:year,0.0055
pur,14.5599,pur:year,-0.0075
qual,13.3056,qual:year,-0.0068
sai,42.9585,sai:year,-0.0236
scompagn,63.8805,scompagn:year,-0.0351
sent,16.6881,sent:year,-0.0087
sì,19.3893,sì:year,-0.01
sol,4.3096,sol:year,-0.0019
sospir,13.9164,sospir:year,-0.0071
spos,23.9166,spos:year,-0.0128
terror,24.6014,terror:year,-0.0127
tradit,33.7762,tradit:year,-0.0183
trem,3.923,trem:year,-0.0012
trov,-8.67,trov:year,0.0057
ved,8.7675,ved:year,-0.004
virtù,15.1723,virtù:year,-0.0077
