Effect,Coefficient,Effect,Coefficient
(Intercept),-3.2729,addi:year,0.0018
affett,1.8695,affett:year,0.0008
allor,3.9193,allor:year,-0.0004
almen,3.9728,almen:year,-0.0004
amor,2.8652,amor:year,0.0002
ancor,1.5184,ancor:year,0.001
barbar,4.217,barbar:year,-0.0005
bel,4.2812,bel:year,-0.0007
bell,-0.5234,bell:year,0.0021
car,4.4272,car:year,-0.0007
chiam,4.978,chiam:year,-0.001
cigl,2.8569,cigl:year,0.0002
cor,2.4276,cor:year,0.0004
crudel,2.0113,crudel:year,0.0007
debell,2.394,debell:year,0.0005
degn,1.016,degn:year,0.0013
dì,139.3664,dì:year,-0.0769
digl,2.4036,digl:year,0.0005
disper,-1.7034,disper:year,0.0027
ditel,-8.2683,ditel:year,0.0065
donar,1.9129,donar:year,0.0007
fat,-3.0917,fat:year,0.0036
fedel,2.6327,fedel:year,0.0003
fid,0.8709,fid:year,0.0014
fug,6.5823,fug:year,-0.0019
guerr,0.1284,guerr:year,0.0018
imper,5.135,imper:year,-0.0011
infedel,1.2606,infedel:year,0.0011
infel,0.6726,infel:year,0.0015
ingann,5.2364,ingann:year,-0.0011
ingrat,2.8647,ingrat:year,0.0002
lagn,8.2975,lagn:year,-0.003
lasc,4.4232,lasc:year,-0.0007
lid,7.8231,lid:year,-0.0026
mor,3.6612,mor:year,-0.0003
nè,0.7528,nè:year,0.0014
ond,3.5208,ond:year,-0.0001
pac,-2.7181,pac:year,0.0034
parl,2.1226,parl:year,0.0006
perd,4.0793,perd:year,-0.0005
perfid,3.2905,perfid:year,0
piet,2.4705,piet:year,0.0004
pover,4.3114,pover:year,-0.0006
prov,-0.5901,prov:year,0.0022
pur,3.6094,pur:year,-0.0002
qual,5.0257,qual:year,-0.001
sai,-0.3832,sai:year,0.002
scompagn,3.9402,scompagn:year,-0.0005
sent,0.923,sent:year,0.0013
sì,3.256,sì:year,0
sol,7.8459,sol:year,-0.0026
sospir,4.4738,sospir:year,-0.0007
spos,0.7256,spos:year,0.0014
terror,-1.2086,terror:year,0.0025
tradit,5.3142,tradit:year,-0.0012
trem,4.0313,trem:year,-0.0005
trov,-0.3082,trov:year,0.002
ved,1.0569,ved:year,0.0013
virtù,3.3951,virtù:year,-0.0001
