Effect,Coefficient,Effect,Coefficient
(Intercept),-9.0925,addi:year,0.0063
affett,21.9193,affett:year,-0.0063
allor,3.2906,allor:year,0.0044
almen,3.8041,almen:year,0.0042
amor,12.8345,amor:year,-0.001
ancor,17.7703,ancor:year,-0.0038
barbar,12.8679,barbar:year,-0.0009
bel,24.6482,bel:year,-0.0076
bell,28.2381,bell:year,-0.0096
car,9.3982,car:year,0.0012
chiam,39.7589,chiam:year,-0.0162
cigl,16.5078,cigl:year,-0.003
cor,11.284,cor:year,0
crudel,8.0856,crudel:year,0.0019
debell,18.1079,debell:year,-0.0036
degn,11.8173,degn:year,-0.0001
dì,-72.7934,dì:year,0.0476
digl,34.4865,digl:year,-0.0128
disper,13.9764,disper:year,-0.0014
ditel,29.3993,ditel:year,-0.0101
donar,2.4763,donar:year,0.005
fat,4.2725,fat:year,0.004
fedel,15.0206,fedel:year,-0.0022
fid,19.5249,fid:year,-0.0047
fug,23.1401,fug:year,-0.0065
guerr,17.2439,guerr:year,-0.0033
imper,30.4244,imper:year,-0.0109
infedel,24.68,infedel:year,-0.0074
infel,23.5805,infel:year,-0.007
ingann,35.6585,ingann:year,-0.0138
ingrat,25.3776,ingrat:year,-0.008
lagn,21.3447,lagn:year,-0.0058
lasc,25.7561,lasc:year,-0.0082
lid,36.055,lid:year,-0.0143
mor,17.0355,mor:year,-0.0032
nè,17.2019,nè:year,-0.0031
ond,36.2689,ond:year,-0.014
pac,16.3942,pac:year,-0.0026
parl,13.5576,parl:year,-0.0012
perd,29.8967,perd:year,-0.0104
perfid,35.5015,perfid:year,-0.0132
piet,18.3509,piet:year,-0.0039
pover,28.9184,pover:year,-0.0098
prov,-5.8666,prov:year,0.0097
pur,7.0834,pur:year,0.0025
qual,22.6234,qual:year,-0.0061
sai,49.5487,sai:year,-0.0217
scompagn,82.0407,scompagn:year,-0.0397
sent,37.8796,sent:year,-0.0151
sì,16.7782,sì:year,-0.0029
sol,8.5812,sol:year,0.0014
sospir,32.4396,sospir:year,-0.0119
spos,45.6628,spos:year,-0.0193
terror,45.992,terror:year,-0.0192
tradit,41.0811,tradit:year,-0.0169
trem,25.6122,trem:year,-0.0077
trov,3.9522,trov:year,0.0044
ved,27.4984,ved:year,-0.0089
virtù,17.2311,virtù:year,-0.0033
